"Order ID","Order Date","CustomerName","State","City","Amount","Profit","Quantity","Category","Sub-Category","PaymentMode"
"B-25613",2018-04-12,"Mohan","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25919",2018-12-23,"Neha","Rajasthan","Udaipur",NA,NA,NA,NA,NA,NA
"B-25768",2018-09-01,"Shreyoshe","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25629",2018-04-24,"Hemant","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-25729",2018-07-22,"Madhulika","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25943",2018-01-09,"Shardul","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25842",2018-11-02,"Sheetal","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-26073",2018-03-21,"Pournamasi","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25778",2018-09-11,"Surabhi","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25717",2018-07-12,"Manshul","Uttar Pradesh","Lucknow",NA,NA,NA,NA,NA,NA
"B-26085",2018-03-26,"Shrichand","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-26048",2018-03-04,"Parth","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25793",2018-09-24,"Siddharth","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25656",2018-05-11,"Priyanka","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25608",2018-04-08,"Aarushi","Tamil Nadu","Chennai",NA,NA,NA,NA,NA,NA
"B-25752",2018-08-14,"Vaibhav","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25779",2018-09-12,"Savi","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25603",2018-04-03,"Jahan","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-26051",2018-03-07,"Parishi","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25653",2018-05-08,"Farah","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-25855",2018-11-08,"Abhijeet","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25762",2018-08-26,"Anudeep","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25995",2018-02-04,"Yohann","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25929",2018-01-02,"Girase","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-26006",2018-02-09,"Arpita","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25697",2018-06-22,"Vijay","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25836",2018-10-29,"Arti","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25601",2018-04-01,"Bharat","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25873",2018-11-23,"Divyeta","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26028",2018-02-20,"Manju","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25964",2018-01-20,"Oshin","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25676",2018-06-01,"Chandni","Rajasthan","Jaipur",NA,NA,NA,NA,NA,NA
"B-25839",2018-10-30,"Pranjali","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25894",2018-12-04,"Monu","Punjab","Amritsar",NA,NA,NA,NA,NA,NA
"B-25925",2018-12-29,"Shruti","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25953",2018-01-14,"Krutika","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25772",2018-09-02,"Sanjana","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-25957",2018-01-18,"Mahima","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25730",2018-07-22,"Rishabh","Rajasthan","Jaipur",NA,NA,NA,NA,NA,NA
"B-25877",2018-11-24,"Dashyam","Gujarat","Surat",NA,NA,NA,NA,NA,NA
"B-26067",2018-03-16,"Tulika","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25810",2018-10-10,"Nripraj","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25868",2018-11-18,"Vikash","Goa","Goa",NA,NA,NA,NA,NA,NA
"B-26023",2018-02-19,"Mukesh","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25626",2018-04-23,"Bhishm","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25937",2018-01-05,"Ankit","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25610",2018-04-09,"Yogesh","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-25777",2018-09-10,"Aditi","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25738",2018-08-02,"Ayush","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25978",2018-01-27,"Parin","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25643",2018-04-29,"Kirti","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25728",2018-07-22,"Ameesha","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25749",2018-08-13,"Ayush","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25667",2018-05-23,"Anjali","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25657",2018-05-13,"Tulika","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25753",2018-08-17,"Shivam","Uttar Pradesh","Lucknow",NA,NA,NA,NA,NA,NA
"B-26061",2018-03-14,"Anurag","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25838",2018-10-29,"Sanjana","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25702",2018-06-27,"Shaily","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25952",2018-01-13,"Priyanka","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25666",2018-05-22,"Tanvi","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25675",2018-05-31,"Shreya","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25650",2018-05-06,"Chirag","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25986",2018-01-31,"Shweta","Rajasthan","Udaipur",NA,NA,NA,NA,NA,NA
"B-25850",2018-11-05,"Abhishek","Goa","Goa",NA,NA,NA,NA,NA,NA
"B-25898",2018-12-07,"Abhishek","Rajasthan","Udaipur",NA,NA,NA,NA,NA,NA
"B-25813",2018-10-10,"Hrisheekesh","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25825",2018-10-21,"Kartik","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25954",2018-01-14,"Trupti","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25696",2018-06-21,"Noopur","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25638",2018-04-26,"Parth","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25747",2018-08-11,"Harsh","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25904",2018-12-10,"Swapnil","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25852",2018-11-07,"Soumyabrata","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25981",2018-01-28,"Amruta","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25899",2018-12-08,"Aishwarya","Uttar Pradesh","Prayagraj",NA,NA,NA,NA,NA,NA
"B-25870",2018-11-20,"Pranav","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-26040",2018-02-26,"Sahil","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25671",2018-05-27,"Mitali","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-26100",2018-03-31,"Hitika","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25651",2018-05-07,"Anurag","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25968",2018-01-21,"Paromita","Punjab","Amritsar",NA,NA,NA,NA,NA,NA
"B-26019",2018-02-15,"Jitesh","Uttar Pradesh","Lucknow",NA,NA,NA,NA,NA,NA
"B-25664",2018-05-20,"Pratyusmita","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-26033",2018-02-22,"Atharv","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-26052",2018-03-08,"Ajay","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25999",2018-02-05,"Diwakar","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25781",2018-09-14,"Rutuja","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25764",2018-08-28,"Sanjova","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25803",2018-10-05,"Shivanshu","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25945",2018-01-11,"Mhatre","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26086",2018-03-26,"Mukesh","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25845",2018-11-03,"Snel","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-25817",2018-10-13,"Praneet","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25951",2018-01-13,"Jesal","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25970",2018-01-22,"Rhea","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25878",2018-11-24,"Mrinal","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26057",2018-03-10,"Sharda","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-25885",2018-11-28,"Shatayu","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25897",2018-12-06,"Rohan","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25756",2018-08-20,"Mohan","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25859",2018-11-14,"Chikku","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25691",2018-06-16,"Akancha","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25633",2018-04-26,"Amit","Sikkim","Gangtok",NA,NA,NA,NA,NA,NA
"B-25708",2018-07-01,"Kishwar","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25831",2018-10-27,"Mahima","Sikkim","Gangtok",NA,NA,NA,NA,NA,NA
"B-25856",2018-11-10,"Abhijeet","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25893",2018-12-04,"Vrinda","Uttar Pradesh","Mathura",NA,NA,NA,NA,NA,NA
"B-25959",2018-01-18,"Muskan","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26000",2018-02-06,"Shubham","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-26097",2018-03-28,"Vini","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25745",2018-08-09,"Kartik","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25974",2018-01-25,"Manisha","Rajasthan","Udaipur",NA,NA,NA,NA,NA,NA
"B-25670",2018-05-25,"Charika","Goa","Goa",NA,NA,NA,NA,NA,NA
"B-25848",2018-11-03,"Rohan","Himachal Pradesh","Simla",NA,NA,NA,NA,NA,NA
"B-25888",2018-12-02,"Rohan","Punjab","Amritsar",NA,NA,NA,NA,NA,NA
"B-25942",2018-01-08,"Ankur","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25847",2018-11-03,"Aniket","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25636",2018-04-26,"Nishi","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25826",2018-10-22,"Tanushree","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26081",2018-03-22,"Aarushi","Tamil Nadu","Chennai",NA,NA,NA,NA,NA,NA
"B-25625",2018-04-23,"Pinky","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25802",2018-10-05,"Yash","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25693",2018-06-18,"Parna","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25796",2018-09-24,"Sukrith","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25806",2018-10-06,"Dhanraj","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25710",2018-07-05,"Megha","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25669",2018-05-25,"Piyali","Sikkim","Gangtok",NA,NA,NA,NA,NA,NA
"B-25857",2018-11-10,"Anand","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25785",2018-09-15,"Ayush","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25930",2018-01-03,"Monica","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-26053",2018-03-09,"Kirti","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-26070",2018-03-18,"Shruti","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25791",2018-09-24,"Avish","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-25983",2018-01-30,"Atul","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25979",2018-01-27,"Shivangi","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26054",2018-03-10,"Mayank","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26078",2018-03-22,"Kasheen","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25787",2018-09-20,"Asish","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25682",2018-06-07,"Krutika","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-25962",2018-01-19,"Tejeswini","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25750",2018-08-14,"Priyanshu","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25828",2018-10-24,"Nikita","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25622",2018-04-22,"Monisha","Rajasthan","Jaipur",NA,NA,NA,NA,NA,NA
"B-25751",2018-08-14,"Nishant","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25685",2018-06-10,"Sheetal","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26010",2018-02-11,"Kartikay","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-26035",2018-02-23,"Pinky","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25698",2018-06-23,"Amisha","Tamil Nadu","Chennai",NA,NA,NA,NA,NA,NA
"B-25966",2018-01-21,"Soumya","Rajasthan","Udaipur",NA,NA,NA,NA,NA,NA
"B-25832",2018-10-28,"Harshita","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25743",2018-08-07,"Aman","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-25886",2018-11-28,"Brijesh","Rajasthan","Udaipur",NA,NA,NA,NA,NA,NA
"B-25975",2018-01-25,"Priyanka","Uttar Pradesh","Prayagraj",NA,NA,NA,NA,NA,NA
"B-26098",2018-03-29,"Pinky","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25614",2018-04-13,"Vandana","Himachal Pradesh","Simla",NA,NA,NA,NA,NA,NA
"B-25726",2018-07-21,"Kiran","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26050",2018-03-06,"Paridhi","Rajasthan","Jaipur",NA,NA,NA,NA,NA,NA
"B-25609",2018-04-09,"Jitesh","Uttar Pradesh","Lucknow",NA,NA,NA,NA,NA,NA
"B-25741",2018-08-03,"Navdeep","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25956",2018-01-17,"Shreya","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25689",2018-06-14,"Bhaggyasree","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25939",2018-01-05,"Vineet","Sikkim","Gangtok",NA,NA,NA,NA,NA,NA
"B-25890",2018-12-04,"Divyansha","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25814",2018-10-10,"Swapnil","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25718",2018-07-12,"Anjali","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25914",2018-12-18,"Kajal","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25903",2018-12-10,"Amlan","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26096",2018-03-28,"Atharv","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25654",2018-05-10,"Sabah","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26076",2018-03-21,"Jahan","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25961",2018-01-18,"Surbhi","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25854",2018-11-08,"Shubham","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25642",2018-04-28,"Ajay","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25683",2018-06-08,"Shreya","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-26016",2018-02-14,"Hazel","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-26034",2018-02-23,"Vini","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-26056",2018-03-10,"Sonal","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-25819",2018-10-15,"Ankur","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25715",2018-07-10,"Srishti","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-25933",2018-01-04,"Shikhar","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26014",2018-02-13,"Divsha","Rajasthan","Jaipur",NA,NA,NA,NA,NA,NA
"B-25655",2018-05-11,"Nida","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25816",2018-10-12,"Mane","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25634",2018-04-26,"Sanjay","Goa","Goa",NA,NA,NA,NA,NA,NA
"B-25895",2018-12-04,"Sathya","Gujarat","Surat",NA,NA,NA,NA,NA,NA
"B-25687",2018-06-11,"Sanjna","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25662",2018-05-17,"Sweta","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25635",2018-04-26,"Nidhi","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-26060",2018-03-13,"Chirag","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26045",2018-03-03,"Nidhi","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-25770",2018-09-02,"Sakshi","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25744",2018-08-08,"Devendra","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25618",2018-04-18,"Manju","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25958",2018-01-18,"Aparajita","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25769",2018-09-02,"Surbhi","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25619",2018-04-18,"Ramesh","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25688",2018-06-11,"Swetha","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25829",2018-10-25,"Apoorva","Haryana","Chandigarh",NA,NA,NA,NA,NA,NA
"B-26036",2018-02-23,"Bhishm","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25714",2018-07-09,"Stuti","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25989",2018-02-01,"Anjali","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25849",2018-11-04,"K","Sikkim","Gangtok",NA,NA,NA,NA,NA,NA
"B-25851",2018-11-06,"Kushal","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-25782",2018-09-15,"Aayushi","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25621",2018-04-20,"Deepak","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25996",2018-02-04,"Prashant","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25678",2018-06-03,"Bathina","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25727",2018-07-22,"Turumella","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26018",2018-02-14,"Aarushi","Tamil Nadu","Chennai",NA,NA,NA,NA,NA,NA
"B-25760",2018-08-24,"Pooja","Goa","Goa",NA,NA,NA,NA,NA,NA
"B-25804",2018-10-05,"Sudheer","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25754",2018-08-18,"Akshay","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-26020",2018-02-16,"Yogesh","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-25640",2018-04-27,"Paridhi","Rajasthan","Jaipur",NA,NA,NA,NA,NA,NA
"B-25789",2018-09-22,"Akshay","Uttar Pradesh","Lucknow",NA,NA,NA,NA,NA,NA
"B-26072",2018-03-20,"Sweta","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26007",2018-02-09,"Shubham","Jammu and Kashmir","Kashmir",NA,NA,NA,NA,NA,NA
"B-26087",2018-03-26,"Vandana","Himachal Pradesh","Simla",NA,NA,NA,NA,NA,NA
"B-25617",2018-04-17,"Sagar","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-25984",2018-01-30,"Kajal","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25767",2018-08-31,"Ashmeet","West Bengal","Kolkata",NA,NA,NA,NA,NA,NA
"B-25987",2018-01-31,"Manjiri","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25840",2018-10-31,"Sneha","Karnataka","Bangalore",NA,NA,NA,NA,NA,NA
"B-25663",2018-05-19,"Pournamasi","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-26030",2018-02-21,"Sarita","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25947",2018-01-13,"Chetan","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25896",2018-12-05,"Aman","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26009",2018-02-10,"Komal","Uttar Pradesh","Lucknow",NA,NA,NA,NA,NA,NA
"B-25876",2018-11-24,"Bhosale","Punjab","Amritsar",NA,NA,NA,NA,NA,NA
"B-25915",2018-12-19,"Sukruta","Punjab","Amritsar",NA,NA,NA,NA,NA,NA
"B-25795",2018-09-24,"Sukant","Sikkim","Gangtok",NA,NA,NA,NA,NA,NA
"B-26002",2018-02-08,"Harsh","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25645",2018-05-01,"Yaanvi","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25837",2018-10-29,"Palak","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25612",2018-04-12,"Shrichand","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-25812",2018-10-10,"Kshitij","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25843",2018-11-03,"Mrunal","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-26026",2018-02-19,"Kanak","Goa","Goa",NA,NA,NA,NA,NA,NA
"B-25773",2018-09-06,"Shreya","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-25875",2018-11-24,"Divyeshkumar","Uttar Pradesh","Prayagraj",NA,NA,NA,NA,NA,NA
